question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
191,combination,区分所有法,orig_set10;義務違反者への措置;advanced;combination,義務違反者への措置に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとイ,アとエ,イとウ,ウとエ,4,正解は4です。ウとエが正しいです。共同利益違反に対しては、差止め、使用禁止、競売請求と段階的な救済手段が設けられています。
192,single,建築・設備,orig_set10;建築材料;advanced;single_choice,建築材料の選定に関する次の記述のうち、最も適切なものはどれか。,,,,,,建築材料は外観だけで選べばよい。,外部材料では耐久性を考える必要はない。,建築材料の選定では、用途、耐久性、維持管理性などを考慮することが重要である。,建築材料の違いは、維持管理にはほとんど影響しない。,3,正解は3です。建築材料の選定では、用途、耐久性、維持管理性などを考慮することが重要です。
193,single,標準管理規約,orig_set10;特別の影響;advanced;case_based,特定住戸だけに新たな高額負担を課す規約変更をする場合の手続として、最も適切なものはどれか。,,,,,,特別決議だけで足り、承諾は不要である。,一部の区分所有者の権利に特別の影響を及ぼすときは、その者の承諾が必要となる。,理事会判断だけで足りる。,特別の影響かどうかは自由裁量で決めてよい。,2,正解は2です。規約変更が一部の区分所有者の権利に特別の影響を及ぼすときは、その区分所有者の承諾が必要です。
194,single,民法・借地借家法,orig_set10;契約不適合責任;advanced;single_choice,契約不適合責任に関する次の記述のうち、最も適切なものはどれか。,,,,,,契約不適合があっても、買主は修補等を求められない。,代金減額請求は契約不適合責任と無関係である。,売主が不適合を知っていた場合でも、買主は何ら請求できない。,契約不適合があるときは、一定の場合に追完請求や代金減額請求が問題となる。,4,正解は4です。契約不適合があるときは、追完請求や一定の場合の代金減額請求などが問題となります。
195,count,管理適正化法,orig_set10;監督処分;advanced;count,監督処分に関する次のアからエまでの記述のうち、適切なものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。アとウが適切です。マンション管理業者には、法令違反等に対する監督処分制度があり、管理組合保護や制度適正化に関わります。
196,single,会計・税務,orig_set10;未収入金;basic;single_choice,未収入金に関する次の記述のうち、最も適切なものはどれか。,,,,,,将来支払う費用を表す。,将来期間分を先にもらった収入を表す。,既に発生しているが、まだ回収していない収入を表す。,会計上無視してよい。,3,正解は3です。未収入金は、既に発生しているがまだ回収していない収入を表します。
197,single,区分所有法,orig_set10;一部滅失と建替え;basic;precedent_fill,共用部分の一部滅失後には、その[　]をするかどうかが問題となり、建替えはこれと別の決議事項である。この[　]に当てはまるものとして正しいものはどれか。,,,,,,復旧,登記,占有移転,清算,1,正解は1です。一部滅失後には、その復旧をするかどうかがまず問題となり、建替えは別の決議事項です。
198,single,建築・設備,orig_set10;断熱結露;basic;case_based,結露対策として最も適切なものはどれか。,,,,,,換気設備を停止する。,外気温だけを見ればよく、断熱や湿気は考えない。,断熱性を見直すとともに、適切な換気を確保する。,家具配置変更だけで十分である。,3,正解は3です。結露対策では、断熱性の向上と適切な換気確保を組み合わせることが基本です。
199,single,標準管理委託契約書・指針,orig_set10;情報開示;basic;single_choice,標準管理委託契約書・指針に照らし、情報開示に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理受託者は、管理組合に対して業務情報を一切示す必要がない。,管理委託の適正な運営には、管理組合に対する必要な情報開示や説明が重要である。,情報開示は、管理組合が要求したときだけ任意に行えば足りる。,情報開示は、管理受託者個人の秘密保持のため原則禁止される。,2,正解は2です。標準管理委託契約書・指針の考え方では、管理組合に対する必要な情報開示や説明が適正な運営に重要です。
200,combination,標準管理規約,orig_set10;役員の任務;basic;combination,役員の任務に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが適切です。理事長は代表・統括し、監事は監査を行います。
201,single,民法・借地借家法,orig_set11;使用貸借;basic;case_based,使用貸借に関する次の記述のうち、最も適切なものはどれか。,,,,,,書面によらない使用貸借では、目的物の引渡し前であれば解除が問題となる。,通常必要費は常に貸主が負担する。,第三者に自由に使用収益させてよい。,使用貸借は有償契約である。,1,正解は1です。書面によらない使用貸借は、引渡し前であれば解除することができます。
202,combination,管理適正化法,orig_set11;管理計画認定制度;basic;combination,管理計画認定制度に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,イとウ,アとエ,ウとエ,3,正解は3です。アとエが適切です。管理計画認定制度は、マンションの管理適正化や管理水準向上を後押しする趣旨を持ちます。
203,single,会計・税務,orig_set11;源泉徴収;standard;comparison_table,源泉徴収に関する次の記述のうち、最も適切なものはどれか。,,,,,,支払内容を問わず、全て源泉徴収不要である。,源泉徴収の要否は、支払内容等に応じて個別に整理して検討する必要がある。,支払内容を問わず、全て源泉徴収が必要である。,会計科目名だけで源泉徴収の要否が決まる。,2,正解は2です。源泉徴収の要否は、支払内容等に応じて個別に整理して検討する必要があります。
204,single,区分所有法,orig_set11;管理者;standard;single_choice,管理者に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理者は、規約又は集会の決議により選任され、共用部分の保存や集会決議の実行等を担う。,管理者は全員一致でしか選任できない。,管理者には代表権も保存行為権限もない。,管理者は専有部分の処分を自由に決められる。,1,正解は1です。管理者は規約又は集会の決議で選任され、共用部分の保存や集会決議の実行等を担います。
205,single,建築・設備,orig_set11;エレベーター保守;standard;comparison_table,エレベーター保守契約に関する次の記述のうち、最も適切なものはどれか。,,,,,,POG契約とFM契約に違いはない。,POG契約は全面更新費用まで含む。,FM契約は点検だけを対象とする。,POG契約は点検・調整中心、FM契約は通常の修理費等を含む形が多い。,4,正解は4です。POG契約は点検・調整中心、FM契約は通常の修理費等を含む包括型であることが多いです。
206,count,標準管理委託契約書・指針,orig_set11;事務管理業務;standard;count,事務管理業務に関する次のアからエまでの記述のうち、適切なものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。アとエが適切です。事務管理業務は、会計事務や報告事務など、管理組合運営の事務的側面を支援する性格を持ちます。
207,single,標準管理規約,orig_set11;議事録;standard;single_choice,議事録に関する次の記述のうち、最も適切なものはどれか。,,,,,,議事録は管理会社だけが作成し、組合員署名は不要である。,議事録には出席組合員全員の署名が必要である。,議事録は議長が作成し、議長及び総会で選任された出席組合員2名が署名する。,議事録は理事会承認後にしか作成できない。,3,正解は3です。議事録は議長が作成し、議長及び総会で選任された出席組合員2名が署名します。
208,count,民法・借地借家法,orig_set11;賃貸借の対抗力;standard;count,賃貸借の対抗力に関する次の記述のうち、正しいものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。アとイが正しいです。建物引渡しや登記が対抗要件として問題となります。
209,single,管理適正化法,orig_set11;マンション管理士;standard;case_based,マンション管理士に関する次の記述のうち、最も適切なものはどれか。,,,,,,マンション管理士は、管理業者登録の代わりに管理業を営む資格である。,マンション管理士は、管理組合等に対して、管理に関する助言、指導その他の援助を行う専門職である。,マンション管理士は、建築確認だけを扱う資格である。,マンション管理士制度は、管理適正化法とは無関係である。,2,正解は2です。マンション管理士は、管理組合等に対して管理に関する助言、指導その他の援助を行う専門職です。
210,combination,会計・税務,orig_set11;保険料処理;standard;combination,保険料処理に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが適切です。保険料処理では、対象期間や支払内容を確認し、必要に応じて前払費用処理を行います。
211,single,区分所有法,orig_set11;規約設定変更;standard;case_based,規約設定又は変更に関する次の記述のうち、最も適切なものはどれか。,,,,,,常に各過半数で足りる。,原則として各4分の3以上の決議によるほか、特別の影響があるときは承諾を要する。,常に全員一致が必要である。,理事会だけで決定できる。,2,正解は2です。規約設定又は変更は原則として各4分の3以上の決議が必要で、特別の影響があるときは承諾も必要です。
212,combination,建築・設備,orig_set11;配管更新;standard;combination,配管更新に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,イとウ,アとエ,ウとエ,4,正解は4です。ウとエが適切です。配管更新では、専有部分内接続部との調整や断水等を踏まえた工程調整が重要です。
213,combination,標準管理委託契約書・指針,orig_set11;基幹事務;standard;combination,基幹事務に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが適切です。基幹事務は管理組合運営上重要な中核的事務であり、適正な実施が重要です。
214,single,標準管理規約,orig_set11;長期修繕計画;standard;case_based,長期修繕計画に関する次の記述のうち、最も適切なものはどれか。,,,,,,一度作成したら見直し不要である。,理事長だけが秘密に保管すべきである。,修繕積立金見通しと無関係である。,劣化状況や工事実績等を踏まえて定期的に見直すことが望ましい。,4,正解は4です。長期修繕計画は固定的なものではなく、劣化状況や工事実績等を踏まえて見直すことが望ましい資料です。
215,combination,民法・借地借家法,orig_set11;相続と債務承継;standard;combination,相続と債務承継に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが正しいです。相続人は原則として権利義務を包括承継し、限定承認又は相続放棄は3か月以内に行うのが原則です。
216,single,管理適正化法,orig_set11;主任者証提示;standard;single_choice,管理業務主任者証の提示に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理業務主任者証の提示は、本人が希望するときだけでよい。,管理業務主任者は、法が予定する場面で主任者証の提示が問題となる。,主任者証は管理会社の社内書類なので外部提示不要である。,主任者証提示義務は宅建業法上の制度であり、管理適正化法と無関係である。,2,正解は2です。管理業務主任者は、法が予定する場面で主任者証の提示が問題となります。
217,count,会計・税務,orig_set11;管理費収入;standard;accounting_table,管理費収入に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理費収入は、共用部分の日常管理に要する経費をまかなうための基本的財源である。,管理費収入は、大規模修繕工事費だけに充てる。,管理費収入は、管理組合会計とは無関係の預り金である。,管理費収入の使途は理事長が自由に決める。,1,正解は1です。管理費収入は、共用部分の日常管理に要する経費をまかなう基本的な財源です。
218,combination,区分所有法,orig_set11;占有者の地位;standard;combination,占有者の地位に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが正しいです。占有者も共同利益義務を負い、一定の場合には請求の対象となります。
219,single,建築・設備,orig_set11;容積率と延べ面積;standard;single_choice,容積率に関する次の記述のうち、正しいものはどれか。,,,,,,容積率は、建築物の延べ面積の敷地面積に対する割合である。,容積率は、建築面積の敷地面積に対する割合である。,容積率は階数だけで決まる。,容積率は専有部分面積だけで算定する。,1,正解は1です。容積率は、建築物の延べ面積の敷地面積に対する割合です。
220,single,標準管理委託契約書・指針,orig_set11;委託業務費;standard;single_choice,委託業務費に関する次の記述のうち、最も適切なものはどれか。,,,,,,委託業務費は、契約で明示する必要がなく管理会社の自由裁量で決めればよい。,委託業務費は、委託業務の内容と対応して契約上明確に整理されることが重要である。,委託業務費は、管理組合への説明を要しない。,委託業務費は、標準管理委託契約書や指針とは無関係である。,2,正解は2です。委託業務費は、委託業務内容との対応関係が契約上明確であることが重要です。
221,combination,標準管理規約,orig_set12;滞納管理費対応;standard;combination,滞納管理費対応に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが適切です。滞納管理費等には督促や法的手続など段階的対応を行います。
222,single,民法・借地借家法,orig_set12;同時履行の抗弁;standard;single_choice,同時履行の抗弁に関する次の記述のうち、正しいものはどれか。,,,,,,片務契約にのみ認められる。,双務契約の当事者は、相手方が履行し又は履行の提供をするまで、自己の履行を拒むことができる。,損害が発生しなければ主張できない。,相手方の履行提供がなくても常に履行しなければならない。,2,正解は2です。同時履行の抗弁は、相手方が履行し又は履行の提供をするまで自己の履行を拒める制度です。
223,count,管理適正化法,orig_set12;財産の分別管理;standard;count,財産の分別管理に関する次のアからエまでの記述のうち、適切なものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。アとイが適切です。財産の分別管理は管理組合保護に重要であり、管理業者に求められる基本的義務です。
224,single,会計・税務,orig_set12;勘定科目判定;advanced;single_choice,勘定科目判定に関する次の記述のうち、最も適切なものはどれか。,,,,,,勘定科目は金額の大きさだけで決める。,勘定科目は、その金銭の性質に応じて判定することが重要である。,同じ金銭でも毎年自由に科目を変えてよい。,会計上の意味を考える必要はない。,2,正解は2です。勘定科目は、その金銭の性質に応じて判定することが重要です。
225,single,区分所有法,orig_set12;団地関係;advanced;precedent_fill,同一敷地内の複数棟が共有する施設については、区分所有法上の[　]関係が問題となる。この[　]に当てはまるものとして正しいものはどれか。,,,,,,専有,敷地単独,共有排除,団地,4,正解は4です。同一敷地内の複数棟が共有する施設については、区分所有法上の団地関係が問題となります。
226,single,建築・設備,orig_set12;非常用照明;advanced;case_based,マンションの共用廊下について、停電時の避難安全を確保するため非常用照明の点検を見直すことになった。この点に関する次の記述のうち、最も適切なものはどれか。,,,,,,非常用照明は、平常時の意匠性向上だけを目的として設けられる。,非常用照明は、停電時にも避難経路の安全を確保するために重要である。,非常用照明は、日中に自然光が入る建物では一切不要である。,非常用照明の点検は、区分所有者個人の判断だけで省略できる。,2,正解は2です。非常用照明は、停電時にも避難経路の安全を確保するために重要です。
227,count,標準管理委託契約書・指針,orig_set12;修繕履歴;advanced;count,修繕履歴に関する次のアからエまでの記述のうち、適切なものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。アとウが適切です。修繕履歴は将来の維持管理に役立ち、委託終了時の引継ぎ資料としても重要です。
228,single,標準管理規約,orig_set12;駐車場使用細則;advanced;single_choice,駐車場使用細則に関する次の記述のうち、最も適切なものはどれか。,,,,,,駐車場の利用条件は、理事長が口頭で都度決めれば足りる。,駐車場使用細則は、一部の居住者に有利であれば足り公平性は不要である。,駐車場使用細則では、利用資格や料金、抽選方法などを明確に定めることが重要である。,駐車場使用細則は、管理規約と無関係なので文書化しなくてよい。,3,正解は3です。駐車場使用細則では、利用資格や料金、抽選方法などを公平かつ明確に定めることが重要です。
229,single,民法・借地借家法,orig_set12;履行遅滞と解除;advanced;case_based,売買契約において、買主が代金支払期限を過ぎても支払わないため、売主Aが契約を解除したいと考えている。この場合の履行遅滞と解除に関する次の記述のうち、最も適切なものはどれか。,,,,,,原則として、Aは相当の期間を定めて履行を催告し、その期間内に履行がなければ解除できる。,支払期限を1日でも過ぎれば、催告なしに常に直ちに解除できる。,解除には、債務不履行とは無関係に裁判所の許可が必ず必要である。,履行遅滞では、解除は一切認められない。,1,正解は1です。履行遅滞による解除では、原則として相当の期間を定めた催告をし、その期間内に履行がないことが必要です。
230,combination,管理適正化法,orig_set12;管理事務報告;advanced;combination,管理事務報告に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,イとエ,ウとエ,アとウ,4,正解は4です。アとウが適切です。管理事務報告は、管理組合への説明責任と透明性確保のため明確に整理して行うことが重要です。
231,single,会計・税務,orig_set12;前受金と預り金;basic;comparison_table,前受金と預り金の区別に関する次の記述のうち、最も適切なものはどれか。,,,,,,前受金と預り金は名称が異なるだけで、会計上の意味は同じである。,前受金は管理組合が一時的に第三者のために預かる金銭である。,前受金は将来の役務提供等に先立って受け入れた金銭、預り金は一時的に預かっている金銭として整理する。,預り金は、必ず管理費収入として処理しなければならない。,3,正解は3です。前受金は将来の役務提供等に先立って受け入れた金銭、預り金は一時的に預かっている金銭として区別します。
232,single,区分所有法,orig_set12;復旧決議;basic;single_choice,区分所有建物の一部滅失後の復旧決議に関する次の記述のうち、最も適切なものはどれか。,,,,,,復旧決議は、区分所有建物の一部が滅失した場合に、その復旧をどうするかを決める場面で問題となる。,復旧決議は、専有部分の模様替えだけを決める制度である。,復旧決議は、管理費の徴収方法を定める決議である。,復旧決議は、駐車場使用者の抽選方法を定めるときに用いる。,1,正解は1です。復旧決議は、区分所有建物の一部滅失後に、その復旧をどうするかを決める場面で問題となります。
233,single,建築・設備,orig_set12;給排水衛生設備;basic;comparison_table,給排水衛生設備に関する次の記述のうち、最も適切なものはどれか。,,,,,,給水設備は、汚水や雑排水を建物外へ排出することを主目的とする。,排水設備は、上水を各住戸へ加圧供給することを主目的とする。,給水設備と排水設備は、維持管理上まったく区別する必要がない。,給水設備は生活用水の供給、排水設備は使用後の水の排出という異なる役割を担う。,4,正解は4です。給水設備は生活用水を供給し、排水設備は使用後の水を排出するという異なる役割を担います。
234,combination,標準管理委託契約書・指針,orig_set12;管理員業務;basic;combination,管理員業務に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが適切です。管理員業務では、受付、連絡取次ぎ、現場確認、異常時の報告などが基本になります。
235,single,標準管理規約,orig_set12;専用使用権;basic;case_based,区分所有者Aは、バルコニーについて専用使用権があることを理由に、管理組合の承認を得ず大きな囲い込み工事を行おうとしている。この場合の専用使用権に関する次の記述のうち、最も適切なものはどれか。,,,,,,専用使用権があれば、その部分は直ちに専有部分となる。,専用使用権があっても、バルコニーが共用部分であることは変わらず、使用方法には規約や細則上の制約があり得る。,専用使用権があれば、管理組合の承認なしに自由な改造が常に許される。,専用使用権は、駐車場以外には成立しない。,2,正解は2です。専用使用権があってもバルコニーは共用部分であり、規約や細則に基づく使用上の制約を受けます。
236,count,民法・借地借家法,orig_set12;無断転貸;basic;count,無断転貸に関する次のアからエまでの記述のうち、適切なものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。アとウが適切です。賃借人は賃貸人の承諾なく賃借権を譲渡したり賃借物を転貸したりできず、無断転貸は解除が問題となることがあります。
237,single,管理適正化法,orig_set12;管理業務主任者;basic;case_based,管理会社Bが管理受託契約を締結しようとする際、担当者Cは『資格者を関与させずに重要事項説明を済ませればよい』と述べている。この場合の管理業務主任者に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理業務主任者は、管理適正化法とは無関係の資格である。,管理受託契約では、管理業務主任者の関与は常に不要である。,管理業務主任者は、工事監理だけを行う資格である。,管理業務主任者は、法が予定する重要事項説明等の場面で役割を果たす資格者である。,4,正解は4です。管理業務主任者は、管理適正化法が予定する重要事項説明等の場面で役割を果たす資格者です。
238,combination,会計・税務,orig_set12;未払金と前払費用;standard;combination,未払金と前払費用に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとイ,イとエ,アとウ,ウとエ,3,正解は3です。アとウが正しいです。未払金は未払いの債務、前払費用は将来の役務提供に対応する前払分として整理します。
239,single,区分所有法,orig_set12;競売請求;standard;case_based,区分所有者Aが、長期間にわたり共同生活上の著しい迷惑行為を繰り返し、他の手段では障害の除去が困難な状況になっている。この場合の競売請求に関する次の記述のうち、最も適切なものはどれか。,,,,,,共同利益に反する行為が著しく、他の方法では障害の除去が困難な場合には、競売請求が問題となることがある。,競売請求は、管理費を1回滞納しただけで当然に認められる。,競売請求は、共用部分の軽微な使用ルール違反で直ちに認められる。,区分所有法には競売請求という制度は存在しない。,1,正解は1です。競売請求は、共同利益に反する行為が著しく、他の方法では障害除去が困難な場合に問題となる最終的な措置です。
240,combination,建築・設備,orig_set12;換気設備;standard;combination,換気設備に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが適切です。換気設備は室内空気の入替えと湿気の抑制に役立ち、空気環境の維持に重要です。
241,single,標準管理委託契約書・指針,orig_set13;緊急対応;standard;single_choice,標準管理委託契約書等でいう緊急対応に関する次の記述のうち、最も適切なものはどれか。,,,,,,緊急対応は、漏水や設備事故などの際に被害拡大を防ぐための初動措置として重要である。,緊急対応は、緊急時であっても一切行ってはならない。,緊急対応は、必ず管理組合総会の決議を経てからでないと開始できない。,緊急対応は、長期修繕計画の見直しだけを意味する。,1,正解は1です。緊急対応は、漏水や設備事故などで被害拡大を防ぐための初動措置として重要です。
242,combination,標準管理規約,orig_set13;管理組合会計;standard;combination,管理組合会計に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとイ,イとエ,アとウ,ウとエ,3,正解は3です。アとウが正しいです。管理費は日常管理、修繕積立金は計画修繕等に備える資金という役割の違いがあります。
243,combination,民法・借地借家法,orig_set13;時効と承認;standard;combination,時効と承認に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,イとエ,ウとエ,アとウ,4,正解は4です。アとウが適切です。債務の承認は、時効の進行に影響を及ぼし、更新事由となることがあります。
244,single,管理適正化法,orig_set13;マンション管理業者の義務;standard;single_choice,マンション管理業者の義務に関する次の記述のうち、最も適切なものはどれか。,,,,,,マンション管理業者は、管理組合財産を自己財産と自由に混在させてよい。,マンション管理業者には、法が定める説明、報告、分別管理などの義務がある。,マンション管理業者には、管理組合への説明責任は一切ない。,マンション管理業者の義務は、宅建業法にしか定められていない。,2,正解は2です。マンション管理業者には、管理適正化法上、説明、報告、分別管理などの基本的義務があります。
245,count,会計・税務,orig_set13;会計区分;standard;accounting_table,会計区分に関する次の記述のうち、最も適切なものはどれか。,,,,,,共用部分の日常清掃費は、原則として修繕積立金会計でのみ処理する。,長期修繕計画に基づく大規模修繕工事費は、原則として管理費会計でのみ処理する。,会計区分は、金額の大小だけで決める。,日常管理に要する費用か、計画的修繕に要する費用かという目的に着目して会計区分を判断する。,4,正解は4です。会計区分は、日常管理に要する費用か、計画的修繕に要する費用かという目的に着目して判断します。
246,combination,区分所有法,orig_set13;使用禁止請求;standard;combination,使用禁止請求に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが適切です。使用禁止請求は、共同利益に反する行為に対する強い措置であり、軽微な違反で直ちに認められるものではありません。
247,single,建築・設備,orig_set13;駐車場設備;standard;single_choice,駐車場設備に関する次の記述のうち、最も適切なものはどれか。,,,,,,機械式駐車設備は、一度設置すれば点検不要である。,機械式駐車設備は、事故防止と安全確保のため定期点検や適切な保守が重要である。,駐車場設備の安全管理は、管理組合とは無関係である。,駐車場設備は、照明設備と同じ管理だけをすれば十分である。,2,正解は2です。機械式駐車設備は、事故防止と安全確保のため定期点検や適切な保守が重要です。
248,count,標準管理委託契約書・指針,orig_set13;月次報告;standard;count,月次報告に関する次のアからエまでの記述のうち、適切なものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。アとイが適切です。月次報告は、管理状況や会計状況を管理組合が把握するうえで重要な資料です。
249,single,標準管理規約,orig_set13;理事長権限;standard;single_choice,理事長の権限に関する次の記述のうち、最も適切なものはどれか。,,,,,,理事長は、管理組合を代表する立場を有しない。,理事長は、総会や規約に基づく統制を受けず自由に私的判断だけで行動できる。,理事長は、管理組合を代表し、その業務を執行する立場にある。,理事長は、共用部分の保存行為を含め一切の業務に関与しない。,3,正解は3です。理事長は、管理組合を代表し、その業務を執行する立場にあります。
250,single,民法・借地借家法,orig_set13;定期建物賃貸借;standard;single_choice,定期建物賃貸借に関する次の記述のうち、正しいものはどれか。,,,,,,定期建物賃貸借では、契約を公正証書等の書面で行い、更新がない旨についてあらかじめ説明することが問題となる。,定期建物賃貸借では、口頭契約だけで常に有効に成立する。,定期建物賃貸借は、普通建物賃貸借と全く同じで更新が当然にある。,定期建物賃貸借は、居住用建物には一切利用できない。,1,正解は1です。定期建物賃貸借では、書面による契約と、更新がない旨の事前説明が重要です。
251,count,管理適正化法,orig_set13;重要事項説明;standard;count,管理受託契約における重要事項説明に関する次のアからエまでの記述のうち、適切なものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。アとウが適切です。重要事項説明は、契約締結前に管理組合が内容を理解し判断するための重要な手続です。
252,single,会計・税務,orig_set13;駐車場使用料処理;standard;single_choice,駐車場使用料の会計処理に関する次の記述のうち、最も適切なものはどれか。,,,,,,駐車場使用料は、いかなる場合でも理事長の私的裁量で自由に処理してよい。,駐車場使用料は、収入の性質を考えず毎年好きな会計区分に移してよい。,駐車場使用料は、規約や会計方針に照らし、その性質と使途との対応を踏まえて整理することが重要である。,駐車場使用料は、会計帳簿に記載する必要がない。,3,正解は3です。駐車場使用料は、その性質と使途に応じて、規約や会計方針に沿って整理することが重要です。
253,single,区分所有法,orig_set13;集会招集;standard;precedent_fill,区分所有法上、集会の招集通知は、原則として会日より少なくとも[　]日前までに発しなければならない。この[　]に当てはまるものとして正しいものはどれか。,,,,,,1日,3日,5日,7日,4,正解は4です。集会の招集通知は、原則として会日より少なくとも1週間前までに発する必要があります。
254,single,建築・設備,orig_set13;コンクリート中性化;standard;case_based,築年数の進んだマンションで外壁調査を行ったところ、コンクリートの中性化が進行しているおそれが指摘された。この場合の中性化に関する次の記述のうち、最も適切なものはどれか。,,,,,,中性化が進んでも、鉄筋腐食とは無関係である。,コンクリートの中性化が進むと、鉄筋の腐食が生じやすくなるため、維持管理上注意が必要である。,中性化は、塗装の色落ちだけを意味する。,中性化は、木部腐朽と同じ仕組みで進行する。,2,正解は2です。コンクリートの中性化が進むと鉄筋腐食のリスクが高まるため、調査と補修の検討が重要です。
255,combination,標準管理委託契約書・指針,orig_set13;原本保管;standard;combination,原本保管に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,イとエ,アとウ,ウとエ,3,正解は3です。アとウが適切です。原本保管では所在管理が重要であり、委託終了時の引継ぎも大切です。
256,single,標準管理規約,orig_set13;総会決議事項;standard;case_based,管理組合で、長期的な運営に大きく影響する新たな使用細則の制定を検討している。この場合の総会決議事項に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理組合の基本的なルールに関わる事項は、総会で決議すべきものとして扱われる。,総会決議事項は存在せず、すべて理事長単独で決められる。,使用細則の制定は、常に管理員の判断だけで足りる。,総会決議事項かどうかは、区分所有者数に関係なく毎回自由に変えてよい。,1,正解は1です。管理組合の基本的なルールに関わる事項は、総会で決議すべきものとして扱われます。
257,single,民法・借地借家法,orig_set13;危険負担;standard;case_based,売買契約締結後、引渡し前に目的物が当事者双方に責任のない火災で滅失した。この場合の危険負担に関する次の記述のうち、最も適切なものはどれか。,,,,,,買主は、常に代金全額を支払わなければならない。,債務者がその債務を履行できなくなった場合で、債権者の責めに帰すべき事由がないときは、原則として反対給付を受けることができない。,危険負担の問題は、双務契約では一切生じない。,危険負担が問題になるときは、常に裁判所の許可が必要である。,2,正解は2です。双方に責任のない履行不能では、債務者は原則として反対給付を受けることができません。
258,combination,管理適正化法,orig_set13;契約成立時書面;standard;combination,契約成立時書面に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,イとエ,ウとエ,アとウ,4,正解は4です。アとウが適切です。契約成立時書面は、成立した契約内容を明確にし、管理組合が確認するために重要です。
259,single,会計・税務,orig_set13;財務諸表読解;advanced;comparison_table,財務諸表の読解に関する次の記述のうち、最も適切なものはどれか。,,,,,,財務諸表は、金額の大小だけでなく、勘定科目の内容や前期比較を踏まえて読むことが重要である。,財務諸表は、残高が記載されていれば内容を確認する必要はない。,財務諸表の読解では、収支と貸借の関係を見る必要はない。,財務諸表は、理事長だけが見れば足り、管理組合は確認しなくてよい。,1,正解は1です。財務諸表は、金額の大小だけでなく、勘定内容や前期比較との関係を踏まえて読むことが重要です。
260,single,区分所有法,orig_set13;共用部分持分;advanced;single_choice,共用部分の持分に関する次の記述のうち、正しいものはどれか。,,,,,,共用部分の持分は、区分所有者の年齢順で決まる。,共用部分の持分は、常に各区分所有者で均等である。,共用部分の持分は、規約に別段の定めがない限り、各区分所有者の専有部分の床面積割合による。,共用部分の持分は、理事長が毎年変更してよい。,3,正解は3です。共用部分の持分は、規約に別段の定めがない限り、専有部分の床面積割合によります。
